Iteration;Decisions;Reward Total;Time;ShortestPickupTime;LongestPickupTime;AveragePickupTime;ShortestDropoffTime;LongestDropoffTime;AverageDropoffTime;TotalPickups;TotalDropoffs;Reward Drop off;Reward Pick up;Reward Same Location;Reward Leftover;Bad Destination
68;19;-12983.13;0;431.3333;431.3333;30.80952;289.4999;289.4999;36.18749;14;8;400;280;-8000;-1163.134;-4500
69;19;-9994.507;0;161;161;14.63636;334.1666;334.1666;37.12962;11;9;450;220;-6000;-664.5059;-4000
70;18;-10662.3;0;794.0004;794.0004;49.62502;192.6667;192.6667;32.11111;16;6;300;320;-6000;-782.3005;-4500
71;17;-11850.86;0;305.3333;305.3333;17.96078;434.9996;434.9996;39.54542;17;11;550;340;-8000;-740.8573;-4000
72;22;-16338.76;0;365.6666;365.6666;26.11904;335.3332;335.3332;33.53332;14;10;500;280;-10000;-1118.765;-6000
73;20;-19315.28;0;343.6666;343.6666;28.63888;585.6664;585.6664;53.2424;12;11;550;240;-14000;-605.2828;-5500
74;17;-8793.573;0;495.9997;495.9997;29.17645;489.3329;489.3329;37.64099;17;13;650;340;-6000;-283.5717;-3500
75;19;-3513.947;0;354.3333;354.3333;22.14583;412.1666;412.1666;31.70512;16;13;650;320;-2000;-483.9474;-2000
76;19;-14492.66;0;323.3331;323.3331;32.33331;351.3329;351.3329;43.91662;10;8;400;200;-8000;-1092.656;-6000
77;15;-5986.118;0;548.9999;548.9999;36.59999;248.833;248.833;49.76661;15;5;250;300;-2000;-1036.117;-3500
78;18;-5639.332;0;502.9998;502.9998;27.94444;569.0002;569.0002;51.72729;18;11;550;360;-2000;-549.3323;-4000
79;18;-4367.936;0;415.6665;415.6665;24.45097;448.1667;448.1667;34.47436;17;13;650;340;-2000;-357.9366;-3000
80;16;-5148.426;0;832.0004;832.0004;39.61907;679.3329;679.3329;52.25637;21;13;650;420;-2000;-718.4268;-3500
81;18;-7409.944;0;617;617;32.47368;767;767;59;19;13;650;380;-4000;-439.9437;-4000
82;26;-16953.03;0;444.6667;444.6667;23.40351;324.1664;324.1664;32.41665;19;10;500;380;-10000;-833.0253;-7000
83;19;-7119.679;0;344.3333;344.3333;21.52083;464.6666;464.6666;35.74358;16;13;650;320;-4000;-1089.679;-3000
84;22;-12137.6;0;289.3333;289.3333;20.66667;456.4999;456.4999;41.49999;14;11;550;280;-6000;-967.5978;-6000
85;21;-10007.47;0;439.3331;439.3331;24.4074;601.6668;601.6668;42.9762;18;14;700;360;-6000;-567.4701;-4500
86;20;-12627.77;0;696.333;696.333;30.27535;715.4996;715.4996;51.10711;23;14;700;460;-8000;-1287.777;-4500
87;22;-14411.74;0;557.6664;557.6664;30.98147;591.9995;591.9995;42.28568;18;14;700;360;-10000;-971.7405;-4500
88;21;-10517.51;0;846.6664;846.6664;42.33332;680.3334;680.3334;52.33334;20;13;650;400;-6000;-567.5154;-5000
89;27;-19524.67;0;469.6664;469.6664;26.09258;560.1663;560.1663;43.08971;18;13;650;360;-14000;-534.6718;-6000
90;22;-14381.16;0;305;305;19.0625;451.3331;451.3331;37.61109;16;12;600;320;-10000;-801.1643;-4500
91;8;-4074.845;0;55.66666;55.66666;13.91667;81.16664;81.16664;40.58332;4;2;100;80;-2000;-754.8447;-1500
92;22;-10794.98;0;467.3332;467.3332;25.96296;797.3329;797.3329;44.29627;18;18;900;360;-6000;-1054.975;-5000
93;27;-15020.09;0;444.6665;444.6665;24.7037;549.8329;549.8329;36.65553;18;15;750;360;-10000;-630.0942;-5500
94;24;-19568.03;0;287.3333;287.3333;16.90196;517.6668;517.6668;43.1389;17;12;600;340;-14000;-1008.031;-5500
95;20;-9589.009;0;478;478;28.11765;577.8332;577.8332;48.15277;17;12;600;340;-6000;-1029.009;-3500
96;25;-15271.17;0;443.6666;443.6666;22.18333;632.9999;632.9999;39.5625;20;16;800;400;-12000;-471.1669;-4000
97;26;-18463.04;0;521.6666;521.6666;27.45614;783.8333;783.8333;52.25555;19;15;750;380;-12000;-593.0382;-7000
98;24;-11564.5;0;453.3335;453.3335;25.18519;697.5;697.5;46.5;18;15;750;360;-8000;-674.4974;-4000
99;22;-10173.38;0;524.3332;524.3332;30.84313;686.0003;686.0003;49.00002;17;14;700;340;-6000;-713.3824;-4500
100;28;-24109.71;0;462.3333;462.3333;22.01587;474.6669;474.6669;36.51284;21;13;650;420;-18000;-679.7095;-6500
101;14;-14445.19;0;217.3333;217.3333;24.14814;127.8332;127.8332;42.61108;9;3;150;180;-10000;-775.189;-4000
102;22;-12334.81;0;646.6664;646.6664;35.92591;797.3328;797.3328;44.29626;18;18;900;360;-8000;-594.8104;-5000
103;11;-6753.984;0;86.99997;86.99997;21.74999;0;0;NaN;4;0;0;80;-2000;-833.9841;-4000
104;13;-6337.674;0;168;168;15.27273;225.1666;225.1666;32.16666;11;7;350;220;-4000;-407.6747;-2500
105;15;-5503.379;0;101.6667;101.6667;12.70833;15.49999;15.49999;15.49999;8;1;50;160;-2000;-713.3799;-3000
106;19;-5973.745;0;823.9999;823.9999;35.82608;752.3326;752.3326;50.15551;23;15;750;460;-4000;-1183.745;-2000
107;12;-7670.085;0;44.33332;44.33332;7.388887;65.16667;65.16667;21.72222;6;3;150;120;-4000;-940.0854;-3000
108;15;-19350.14;0;154.6667;154.6667;22.09524;133;133;26.6;7;5;250;140;-14000;-740.1471;-5000
109;9;-1109.55;0;409.0001;409.0001;27.26667;107.1667;107.1667;35.72223;15;3;150;300;0;-559.5494;-1000
110;24;-11199.33;0;660.0001;660.0001;31.42858;761.3334;761.3334;44.78432;21;17;850;420;-8000;-469.3318;-4000
111;18;-14866.96;0;404.6665;404.6665;31.12819;206.4998;206.4998;34.41664;13;6;300;260;-10000;-426.9592;-5000
112;14;-10547.54;0;167.9999;167.9999;27.99998;123.9999;123.9999;41.33331;6;3;150;120;-6000;-817.5364;-4000
113;13;-10002.08;0;155.0001;155.0001;25.83335;70.00005;70.00005;23.33335;6;3;150;120;-6000;-772.0804;-3500
114;14;-12483.61;0;220.3334;220.3334;24.48149;46.83336;46.83336;23.41668;9;2;100;180;-8000;-763.605;-4000
115;27;-19477.69;0;565.3331;565.3331;24.5797;924.9997;924.9997;44.0476;23;21;1050;460;-14000;-987.6916;-6000
116;13;-6035.766;0;144;144;16.00001;283.6665;283.6665;40.52378;9;7;350;180;-4000;-565.7659;-2000
117;14;-8900.571;0;89.66666;89.66666;17.93333;143.6666;143.6666;35.91665;5;4;200;100;-4000;-700.572;-4500
118;14;-12367.95;0;151.6666;151.6666;21.66666;27.66668;27.66668;27.66668;7;1;50;140;-8000;-557.9493;-4000
119;14;-7623.212;0;172.3333;172.3333;19.14815;240;240;40.00001;9;6;300;180;-4000;-603.2112;-3500
120;14;-14722.77;0;223.3332;223.3332;27.91665;143.4998;143.4998;47.83328;8;3;150;160;-10000;-532.7689;-4500
121;31;-24089.78;0;682.6666;682.6666;37.92592;620.1666;620.1666;47.70512;18;13;650;360;-16000;-1099.775;-8000
122;13;-4791.106;0;201.3333;201.3333;18.30303;137.3333;137.3333;34.33333;11;4;200;220;-2000;-711.1057;-2500
123;12;-7615.359;0;147.9999;147.9999;29.59999;72.50003;72.50003;36.25002;5;2;100;100;-4000;-815.3587;-3000
124;27;-11596.01;0;676.9999;676.9999;28.20833;920.8325;920.8325;46.04163;24;20;1000;480;-6000;-576.0059;-6500
125;15;-13319.09;0;220.3332;220.3332;24.48147;145.6665;145.6665;48.55548;9;3;150;180;-8000;-1149.088;-4500
126;21;-20600.52;0;388.9998;388.9998;43.2222;284.3332;284.3332;47.38887;9;6;300;180;-14000;-580.5189;-6500
127;17;-14998.92;0;276.3332;276.3332;27.63332;260.333;260.333;43.38884;10;6;300;200;-10000;-498.9225;-5000
128;18;-12730.62;0;406.9997;406.9997;36.99997;188.3332;188.3332;37.66663;11;5;250;220;-8000;-700.6153;-4500
129;26;-9174.705;0;640.3337;640.3337;32.01669;579.4998;579.4998;41.39284;20;14;700;400;-4000;-1274.705;-5000
130;12;-10414.08;0;280.6669;280.6669;46.77782;99.33325;99.33325;49.66663;6;2;100;120;-6000;-634.0806;-4000
131;10;-2429.722;0;98.3333;98.3333;16.38888;87.66667;87.66667;29.22222;6;3;150;120;0;-699.722;-2000
132;16;-15906.88;0;336.6667;336.6667;37.40742;104.5;104.5;34.83335;9;3;150;180;-10000;-736.8763;-5500
133;22;-22285.63;0;218.3333;218.3333;19.84848;268.6666;268.6666;38.38094;11;7;350;220;-16000;-855.629;-6000
134;24;-12379.46;0;770.9998;770.9998;30.83999;933.6662;933.6662;49.14033;25;19;950;500;-8000;-829.4632;-5000
135;12;-9770.242;0;331.6664;331.6664;30.15149;280.1666;280.1666;70.04166;11;4;200;220;-6000;-690.2414;-3500
136;8;-1088.113;0;199.3333;199.3333;16.61111;114.1666;114.1666;38.05553;12;3;150;240;0;-478.1132;-1000
137;23;-22689.29;0;402.6664;402.6664;25.16665;521.6665;521.6665;43.47221;16;12;600;320;-16000;-609.2949;-7000
138;13;-14708.22;0;271.9998;271.9998;30.22219;190.6665;190.6665;38.13331;9;5;250;180;-10000;-1138.215;-4000
139;29;-16136.25;0;643.6666;643.6666;26.81944;950.8331;950.8331;47.54165;24;20;1000;480;-10000;-1116.252;-6500
140;29;-12412.29;0;574.9999;574.9999;22.11538;924.1663;924.1663;44.00792;26;21;1050;520;-8000;-982.295;-5000
141;22;-11932.6;0;292.6666;292.6666;20.90476;394.6667;394.6667;43.85185;14;9;450;280;-8000;-662.6019;-4000
142;17;-10270.82;0;312.6665;312.6665;31.26665;149.1667;149.1667;29.83334;10;5;250;200;-6000;-720.8224;-4000
143;16;-7393.726;0;135.3333;135.3333;11.27778;379.8333;379.8333;37.98333;12;10;500;240;-4000;-633.7266;-3500
144;19;-14975.62;0;664.6669;664.6669;36.92594;191.3335;191.3335;27.33335;18;7;350;360;-10000;-1185.621;-4500
145;28;-14526.7;0;744.9998;744.9998;26.60714;906.1662;906.1662;41.18937;28;22;1100;560;-10000;-686.6948;-5500
146;12;-9015.582;0;133.6666;133.6666;22.27777;115.4998;115.4998;57.74992;6;2;100;120;-4000;-1235.581;-4000
147;20;-19363.15;0;320.9998;320.9998;22.92856;230.3332;230.3332;32.90475;14;7;350;280;-14000;-493.1481;-5500
148;28;-18062.65;0;846.9995;846.9995;31.37035;1117.999;1117.999;53.23805;27;21;1050;540;-14000;-652.6478;-5000
149;16;-11000.41;0;140.3333;140.3333;15.59259;159.1666;159.1666;31.83332;9;5;250;180;-6000;-1930.405;-3500
150;33;-18671.96;0;570.3333;570.3333;22.81333;995.1666;995.1666;43.26812;25;23;1150;500;-14000;-821.9575;-5500
151;20;-15157.57;0;151.6667;151.6667;21.66667;153.5;153.5;38.37499;7;4;200;140;-8000;-997.5658;-6500
152;14;-11005.51;0;500.6665;500.6665;38.51281;156.8333;156.8333;39.20833;13;4;200;260;-6000;-965.5095;-4500
153;32;-25807.33;0;1061.333;1061.333;34.23655;1311.499;1311.499;48.57403;31;27;1350;620;-20000;-777.332;-7000
154;17;-8660.234;0;254.3332;254.3332;19.56409;618.5001;618.5001;68.72223;13;9;450;260;-6000;-370.2353;-3000
155;16;-6001.116;0;360.9999;360.9999;21.23529;315.6666;315.6666;28.69696;17;11;550;340;-4000;-391.1169;-2500
156;31;-11602.06;0;712.6664;712.6664;24.5747;1152;1152;47.99998;29;24;1200;580;-8000;-882.0665;-4500
157;13;-3392.144;0;121.3333;121.3333;15.16667;265.1665;265.1665;53.03331;8;5;250;160;0;-802.1443;-3000
158;31;-11148.89;0;831.9999;831.9999;32;1052.166;1052.166;42.08665;26;25;1250;520;-8000;-418.8915;-4500
159;25;-17871.61;0;654.333;654.333;34.43858;467.833;467.833;51.98145;19;9;450;380;-10000;-701.6075;-8000
160;17;-13634.34;0;306;306;23.53846;170.9998;170.9998;42.74996;13;4;200;260;-10000;-594.3419;-3500
161;15;-11519.85;0;511.3336;511.3336;34.08891;218.1666;218.1666;36.3611;15;6;300;300;-8000;-619.8495;-3500
162;19;-7964.727;0;308.0001;308.0001;23.69231;313.9998;313.9998;39.24998;13;8;400;260;-4000;-624.7266;-4000
163;17;-14925.3;0;263;263;23.90909;341.9999;341.9999;37.99999;11;9;450;220;-10000;-595.2949;-5000
164;18;-6764.859;0;302.6666;302.6666;23.28205;273.6666;273.6666;34.20833;13;8;400;260;-4000;-424.8583;-3000
165;15;-4746.597;0;190;190;14.61538;194.8333;194.8333;32.47222;13;6;300;260;-2000;-806.5972;-2500
166;19;-13003.42;0;198;198;16.5;324.6666;324.6666;40.58333;12;8;400;240;-8000;-643.4223;-5000
167;12;-4393.538;0;234;234;18;319.9997;319.9997;39.99996;13;8;400;260;-2000;-553.5375;-2500
168;21;-18055.41;0;366.0001;366.0001;30.50001;409.833;409.833;51.22912;12;8;400;240;-12000;-695.4045;-6000
169;13;-5829.018;0;161;161;20.125;34.99999;34.99999;17.5;8;2;100;160;-2000;-1089.018;-3000
170;28;-25249.83;0;473.9999;473.9999;36.46153;486.9997;486.9997;48.69997;13;10;500;260;-16000;-1009.833;-9000
171;21;-9163.825;0;290.3331;290.3331;17.07842;369.1664;369.1664;36.91665;17;10;500;340;-4000;-1003.824;-5000
172;18;-10442.87;0;518.6663;518.6663;37.04759;357.6663;357.6663;44.70829;14;8;400;280;-6000;-622.8751;-4500
173;22;-11273.18;0;530.6666;530.6666;26.53333;717.3328;717.3328;44.8333;20;16;800;400;-8000;-473.1817;-4000
174;21;-14530.6;0;291.6666;291.6666;14.58333;458.5002;458.5002;50.94447;20;9;450;400;-10000;-880.6002;-4500
175;23;-10980.42;0;537.3331;537.3331;25.58729;614.8331;614.8331;47.29485;21;13;650;420;-8000;-1050.417;-3000
176;25;-21092.49;0;528.3335;528.3335;27.80703;547.6665;547.6665;39.11904;19;14;700;380;-16000;-672.4932;-5500
177;13;-9983.237;0;132.3333;132.3333;18.90476;217.8331;217.8331;54.45827;7;4;200;140;-6000;-823.2386;-3500
178;18;-16935.85;0;227.3334;227.3334;37.8889;52.50002;52.50002;26.25001;6;2;100;120;-10000;-1155.858;-6000
179;14;-12788.75;0;98.66667;98.66667;12.33333;171.3333;171.3333;42.83331;8;4;200;160;-10000;-648.7454;-2500
180;22;-13503.29;0;391.6667;391.6667;23.03922;528.6668;528.6668;40.66668;17;13;650;340;-8000;-993.2852;-5500
181;17;-7021.797;0;267.6665;267.6665;20.58973;330.9999;330.9999;47.2857;13;7;350;260;-4000;-631.7975;-3000
182;16;-8344.301;0;240.9999;240.9999;24.09999;147.1665;147.1665;36.79163;10;4;200;200;-4000;-744.301;-4000
183;39;-28618.77;0;1006;1006;25.79486;1567.667;1567.667;47.50505;39;33;1650;780;-22000;-548.7687;-8500
184;18;-8579.491;0;422.9999;422.9999;35.24999;646.9998;646.9998;58.81816;12;11;550;240;-4000;-869.4916;-4500
185;8;-4216.856;0;207.6667;207.6667;20.76667;75.4999;75.4999;37.74995;10;2;100;200;-2000;-516.8558;-2000
