Iteration;Decisions;Reward Total;Time;ShortestPickupTime;LongestPickupTime;AveragePickupTime;ShortestDropoffTime;LongestDropoffTime;AverageDropoffTime;TotalPickups;TotalDropoffs;Reward Drop off;Reward Pick up;Reward Same Location;Reward Leftover;;Mean average reward;
797;16;-2.393.395;0;2.706.666;2.706.666;2.460.605;192.5;192.5;3.208.334;11;6;180;220;-300;-3.393.394;;-5.491.616;-280
798;30;-2.259.217;0;6.639.999;6.639.999;2.766.666;6.565.002;6.565.002;3.861.766;24;17;510;480;-500;-7.159.216;;-3.982.726;-340
799;16;-3.937.881;0;2.376.667;2.376.667;1.828.205;3.961.666;3.961.666;3.961.666;13;10;300;260;-100;-853.788;;-4.355.997;-320
800;20;-3.038.402;0;5.473.332;5.473.332;3.420.832;3.676.665;3.676.665;3.676.665;16;10;300;320;-200;-450.384;;-4.133.447;-300
801;18;-3.321.259;0;3.386.666;3.386.666;2.116.666;4.699.998;4.699.998;3.916.665;16;12;360;320;-100;-9.121.259;;-2.990.031;-240
802;22;-2.838.363;0;1.593.333;1.593.333;1.225.641;2.593.333;2.593.333;2.881.481;13;9;270;260;-400;-4.138.363;;-3.079.024;-260
803;14;-5.552.246;0;2.813.334;2.813.334;2.164.103;7.550.005;7.550.005;2.516.668;13;3;90;260;-200;-7.052.246;;-3.737.630;-200
804;16;-5.912.756;0;4.273.333;4.273.333;3.561.111;2.876.665;2.876.665;3.595.832;12;8;240;240;-100;-9.712.755;;-4.132.605;-200
805;15;-5.365.864;0;1.613.333;1.613.333;2.304.761;1.813.332;1.813.332;4.533.329;7;4;120;140;-200;-5.965.864;;-4.598.098;-200
806;14;-1.280.644;0;166;166;20.75;233;233;3.328.571;8;7;210;160;-100;-3.980.644;;-4.189.975;-200
807;15;-525.527;0;2.970.001;2.970.001;2.700.001;1.018.333;1.018.333;3.394.445;11;3;90;220;-200;-6.355.269;;-3.727.407;-160
808;30;2.071.629;0;6.233.335;6.233.335;2.493.334;8.721.668;8.721.668;3.964.395;25;22;660;500;-400;-552.837;;-2.202.632;-200
809;17;-257.848;0;281;281;2.007.143;3.801.666;3.801.666;3.801.666;14;10;300;280;-100;-737.848;;-1.071.651;-200
810;16;-4.582.227;0;3.036.665;3.036.665;2.335.896;3.073.332;3.073.332;4.390.474;13;7;210;260;-100;-8.282.227;;-914.923;-180
811;19;-8.247.002;0;3.116.666;3.116.666;2.597.222;2.834.998;2.834.998;4.724.997;12;6;180;240;-300;-9.447.002;;-2.308.195;-220
812;16;-1.051.979;0;3.369.998;3.369.998;2.808.331;1.198.332;1.198.332;2.995.831;12;4;120;240;-300;-1.111.979;;-2.413.485;-240
813;12;-3.480.607;0;2.966.665;2.966.665;2.119.047;2.504.999;2.504.999;4.174.998;14;6;180;280;0;-8.080.607;;-3.523.933;-160
814;16;-7.345.615;0;3.463.332;3.463.332;2.473.808;3.646.664;3.646.664;6.077.773;14;6;180;280;-100;-1.094.562;;-4.941.486;-160
815;24;3.270.163;0;506;506;20.24;9.423.329;9.423.329;4.711.665;25;20;600;500;-200;-5.729.837;;-3.371.008;-180
816;32;5.601.219;0;9.226.671;9.226.671;318.161;1.094.833;1.094.833;4.561.806;29;24;720;580;-200;-5.398.781;;-601.364;-160
817;27;-1.974.582;0;553;553;2.633.333;7.911.666;7.911.666;4.653.922;21;17;510;420;-500;-6.274.582;;-785.884;-200
818;14;8.081.947;0;1.443.334;1.443.334;1.110.257;4.143.333;4.143.333;3.452.778;13;12;360;260;0;-5.391.805;;1.526.626;-200
819;11;-1.422.639;0;1.433.332;1.433.332;1.592.591;2.258.332;2.258.332;3.763.887;9;6;180;180;0;-5.022.639;;2.711.222;-180
820;11;-8.123.492;0;6.633.331;6.633.331;9.476.188;60;60;20;7;3;90;140;-100;-9.423.492;;432.491;-160
821;18;3.380.732;0;3.136.667;3.136.667;1.742.593;503;503;3.353.333;18;15;450;360;-100;-3.719.269;;-11.607;-140
822;11;-3.597.413;0;2.706.665;2.706.665;3.007.406;7.666.667;7.666.667;1.916.667;9;4;120;180;0;-6.597.414;;-336.173;-40
823;17;1.751.048;0;3.503.331;3.503.331;269.487;2.861.665;2.861.665;3.179.627;13;9;270;260;0;-3.548.952;;-1.602.353;-40
824;13;-171.041;0;1.506.667;1.506.667;1.674.074;2.213.332;2.213.332;3.688.887;9;6;180;180;-100;-431.041;;-1.352.033;-60
825;19;-4.892.775;0;2.093.333;2.093.333;1.610.256;2.856.664;2.856.664;4.080.948;13;7;210;260;-300;-6.592.775;;-705.890;-100
826;15;-8.824.209;0;345;345;215.625;4.333.331;4.333.331;4.333.331;16;1;30;320;-300;-932.421;;-3.146.878;-140
827;25;1.563.323;0;6.276.663;6.276.663;3.303.507;7.879.998;7.879.998;5.253.332;19;15;450;380;-400;-2.736.678;;-2.114.731;-220
828;17;-8.845.247;0;2.836.667;2.836.667;2.578.788;2.444.999;2.444.999;4.889.999;11;5;150;220;-300;-9.545.247;;-4.233.990;-280
829;15;-6.171.669;0;1.526.667;1.526.667;1.908.334;1.413.333;1.413.333;2.826.667;8;5;150;160;-300;-6.271.669;;-5.434.115;-320
830;18;-2.167.338;0;5.399.999;5.399.999;317.647;4.561.664;4.561.664;3.801.387;17;12;360;340;-200;-7.167.338;;-4.889.028;-300
831;31;-8.837.439;0;7.419.996;7.419.996;2.967.999;8.938.326;8.938.326;4.469.163;25;20;600;500;-500;-6.883.745;;-4.891.674;-340
832;17;-1.702.103;0;3.056.665;3.056.665;2.351.281;4.621.664;4.621.664;4.621.664;13;10;300;260;-200;-5.302.104;;-5.544.759;-300
833;15;-1.113.897;0;1.833.333;1.833.333;2.037.037;248.5;248.5;4.141.666;9;6;180;180;0;-4.713.896;;-3.998.489;-240
834;11;-3.190.466;0;9.400.001;9.400.001;9.400.001;9.550.003;9.550.003;3.183.334;10;3;90;200;-100;-5.090.466;;-3.402.249;-200
835;16;-3.119.799;0;3.199.999;3.199.999;290.909;1.646.667;1.646.667;2.744.446;11;6;180;220;-100;-6.119.799;;-3.592.741;-180
836;13;-2.909.417;0;1.876.667;1.876.667;1.876.667;1.053.333;1.053.333;2.106.667;10;5;150;200;-100;-5.409.417;;-2.407.136;-100
837;12;-246.264;0;2.053.334;2.053.334;2.281.482;1.716.667;1.716.667;2.861.111;9;6;180;180;-100;-506.264;;-2.115.969;-80
838;16;-5.523.503;0;2.239.999;2.239.999;2.799.999;3.546.663;3.546.663;4.433.329;8;8;240;160;-200;-7.523.503;;-2.997.890;-120
839;24;7.120.024;0;1.081.333;1.081.333;3.379.166;1.528.999;1.528.999;566.296;32;27;810;640;-100;-6.379.976;;-935.792;-120
840;12;-8.295.784;0;7.500.004;7.500.004;1.250.001;9.916.666;9.916.666;3.305.555;6;3;90;120;-300;-7.395.785;;-1.970.989;-160
841;22;6.491.518;0;6.256.665;6.256.665;2.606.944;6.896.662;6.896.662;3.831.479;24;18;540;480;0;-3.708.482;;-90.802;-140
842;11;-1.429.599;0;208;208;2.311.111;1.758.333;1.758.333;3.516.666;9;5;150;180;0;-4.729.599;;-327.469;-120
843;18;-3.818.931;0;2.376.666;2.376.666;2.160.605;2.198.334;2.198.334;3.140.477;11;7;210;220;-200;-6.118.931;;13.446;-120
844;24;1.107.861;0;8.260.001;8.260.001;4.347.369;7.985.001;7.985.001;5.323.334;19;15;450;380;-200;-5.192.139;;-1.188.987;-140
845;20;-1.333.079;0;924.666;924.666;4.020.287;9.060.002;9.060.002;6.040.001;23;15;450;460;-100;-943.308;;203.554;-100
846;23;4.120.304;0;643.333;643.333;3.216.665;6.481.663;6.481.663;4.629.759;20;14;420;400;0;-778.797;;-270.689;-100
847;25;-5.530.718;0;2.623.333;2.623.333;1.873.809;5.496.666;5.496.666;4.580.555;14;12;360;280;-400;-7.930.719;;-1.090.913;-180
848;22;5.335.612;0;5.533.332;5.533.332;263.492;4.774.998;4.774.998;3.183.332;21;15;450;420;-400;-4.166.439;;739.996;-220
849;40;-1.495.885;0;1.038.333;1.038.333;2.884.259;1.472.166;1.472.166;4.748.922;36;31;930;720;-400;-1.399.588;;219.247;-260
850;24;2.595.098;0;6.719.999;6.719.999;3.054.545;8.914.995;8.914.995;4.457.497;22;20;600;440;-200;-8.140.491;;1.004.882;-280
851;24;3.331.711;0;4.856.666;4.856.666;2.111.594;6.449.999;6.449.999;3.794.117;23;17;510;460;-200;-436.829;;847.164;-320
852;41;-2.479.832;0;8.510.002;8.510.002;2.934.483;1119;1119;4.662.499;29;24;720;580;-700;-8.479.833;;1.457.341;-380
853;80;1.896.808;0;1.970.999;1.970.999;2.699.999;3.409.665;3.409.665;5.014.214;73;68;2040;1460;-1000;-6.031.922;;769.580;-500
854;14;-2.524.281;0;1.003.333;1.003.333;1.114.815;1.291.667;1.291.667;1.845.238;9;7;210;180;-100;-5.424.281;;563.901;-440
855;23;-1.099.054;0;9.073.334;9.073.334;3.780.556;7.188.331;7.188.331;4.792.221;24;15;450;480;-200;-8.399.054;;-174.930;-440
856;72;1.643.941;0;2.097.332;2.097.332;2.912.962;3.469.999;3.469.999;5.102.939;72;68;2040;1440;-600;-1.236.059;;-512.484;-520
857;19;-4.410.667;0;2.226.665;2.226.665;1.590.475;3.136.664;3.136.664;5.227.773;14;6;180;280;-100;-8.010.667;;-898.651;-400
858;19;-4.245.175;0;2.913.334;2.913.334;1.942.223;2.785.001;2.785.001;2.785.001;15;10;300;300;-300;-7.245.175;;-2.127.047;-260
859;26;-9.899.751;0;6.463.333;6.463.333;2.937.878;6.543.332;6.543.332;4.089.582;22;16;480;440;-400;-6.189.975;;-3.602.141;-320
860;41;1.447.072;0;1265;1265;3.011.905;1.808.999;1.808.999;4.638.459;42;39;1170;840;-100;-4.629.278;;-3.092.916;-300
861;22;6.213.778;0;7.976.661;7.976.661;3.190.664;6.543.329;6.543.329;4.089.581;25;16;480;500;-400;-5.178.622;;-2.178.949;-260
862;29;501.693;0;7.259.997;7.259.997;2.903.999;9.563.326;9.563.326;3.984.719;25;24;720;500;-100;-618.307;;-1.196.477;-260
863;12;-1.803.685;0;1.736.667;1.736.667;1.447.223;8.450.001;8.450.001;21.125;12;4;120;240;-100;-4.403.685;;-708.179;-220
864;30;5.248.118;0;7.236.667;7.236.667;2.334.409;8.824.997;8.824.997;3.677.082;31;24;720;620;-300;-5.151.882;;2.321.395;-200
865;13;-1.022.002;0;8.833.333;8.833.333;2.208.333;3.749.999;3.749.999;3.749.999;4;1;30;80;-100;-1.032.002;;1.827.580;-200
866;15;2.844.468;0;3.613.332;3.613.332;2.258.332;4.861.665;4.861.665;4.419.696;16;11;330;320;0;-3.655.532;;1.153.718;-120
867;16;-1.203.075;0;2.826.668;2.826.668;1.884.445;2.529.999;2.529.999;3.162.499;15;8;240;300;-100;-5.603.074;;812.765;-120
868;38;7.309.274;0;1.082.667;1.082.667;264.065;1685.5;1685.5;4.435.525;41;38;1140;820;-400;-8.290.727;;2.635.357;-180
869;21;-4.714.828;0;4.613.334;4.613.334;2.306.667;5.650.001;5.650.001;5.136.364;20;11;330;400;-300;-9.014.828;;642.767;-180
870;16;-7.692.176;0;3.303.334;3.303.334;3.003.031;1.630.001;1.630.001;5.433.335;11;3;90;220;-200;-8.792.176;;-691.267;-200
871;23;5.772.722;0;7.856.667;7.856.667;3.021.795;9.866.666;9.866.666;4.698.412;26;21;630;520;0;-572.728;;-105.617;-200
872;20;-4.042.198;0;4.196.666;4.196.666;3.228.205;388.333;388.333;388.333;13;10;300;260;-500;-4.642.198;;-673.441;-280
873;22;-2.871.555;0;7.376.664;7.376.664;3.882.455;6.659.996;6.659.996;5.123.074;19;13;390;380;-400;-6.571.556;;-2.709.607;-280
874;23;-2.434.959;0;4.539.999;4.539.999;2.670.588;6.389.999;6.389.999;4.564.285;17;14;420;340;-300;-703.496;;-2.253.633;-280
875;16;4.655.974;0;2.666.666;2.666.666;1.904.762;2.520.001;2.520.001;2.520.001;14;10;300;280;-100;-4.334.403;;215.997;-260
876;25;2.944.383;0;5.459.998;5.459.998;2.373.912;7.259.997;7.259.997;3.629.998;23;20;600;460;-100;-6.655.617;;-349.671;-280
877;31;2.086.829;0;1117;1117;3.989.284;1.443.999;1.443.999;5.553.844;28;26;780;560;-400;-7.313.171;;876.134;-260
878;26;2.297.981;0;5.166.666;5.166.666;2.719.298;6.801.664;6.801.664;425.104;19;16;480;380;-100;-5.302.019;;1.910.042;-200
879;19;2.113.134;0;3.513.331;3.513.331;1.849.122;4.524.998;4.524.998;3.480.767;19;13;390;380;-100;-4.586.866;;2.819.660;-160
880;24;-2.285.403;0;370;370;2.055.555;6.468.333;6.468.333;497.564;18;13;390;360;-300;-6.785.402;;1.431.385;-200
881;12;-6.447.285;0;1.536.667;1.536.667;2.195.238;1.883.333;1.883.333;1.883.333;7;1;30;140;-100;-7.147.285;;-446.949;-200
882;13;-447.521;0;1.859.999;1.859.999;2.324.999;1.531.667;1.531.667;2.552.779;8;6;180;160;-200;-5.875.209;;-953.819;-160
883;14;-4.106.898;0;1.213.334;1.213.334;2.022.223;1.833.334;1.833.334;3.055.556;6;6;180;120;-100;-6.106.899;;-2.234.795;-160
884;15;-401.228;0;4.419.997;4.419.997;3.399.997;3.751.663;3.751.663;6.252.772;13;6;180;260;-200;-641.228;;-2.737.667;-180
885;18;2.722.692;0;4.320.003;4.320.003;2.700.002;4.574.999;4.574.999;415.909;16;11;330;320;0;-3.777.308;;-1.736.048;-120
886;14;-1.092.718;0;1.186.666;1.186.666;1.483.332;1.226.666;1.226.666;3.066.665;8;4;120;160;-200;-1.172.718;;-665.135;-140
887;18;-3.187.106;0;261;261;2.372.728;2.723.333;2.723.333;3.890.475;11;7;210;220;0;-7.487.106;;-1.213.052;-100
888;11;-660.392;0;2.066.666;2.066.666;2.296.296;2.258.333;2.258.333;3.763.888;9;6;180;180;0;-4.260.392;;-523.750;-80
889;20;5.820.076;0;652.333;652.333;3.433.332;7.123.328;7.123.328;445.208;19;16;480;380;0;-2.779.924;;720.510;-40
890;20;-1.071.872;0;415;415;2.441.176;3.116.667;3.116.667;2.833.333;17;11;330;340;0;-7.771.871;;-38.402;-40
891;24;3.767.556;0;6.173.333;6.173.333;2.572.222;9.363.336;9.363.336;4.928.072;24;19;570;480;0;-6.732.443;;933.652;0
892;18;5.482.959;0;4.256.666;4.256.666;2.660.416;5.883.333;5.883.333;420.238;16;14;420;320;-200;-4.851.704;;2.667.665;-40
893;32;1.176.166;0;1.049.333;1.049.333;3.086.275;1.623.833;1.623.833;5.599.423;34;29;870;680;-200;-1.738.335;;3.034.977;-80
894;14;-7.898.327;0;1.506.666;1.506.666;1.506.666;1.534.999;1.534.999;5.116.662;10;3;90;200;-200;-8.798.327;;291.296;-120
895;16;-6.414.545;0;7.500.002;7.500.002;1.071.429;8.783.324;8.783.324;2.927.775;7;3;90;140;-200;-6.714.545;;-777.238;-160
896;22;-1.553.509;0;5.379.998;5.379.998;2.689.999;6.458.329;6.458.329;4.036.456;20;16;480;400;-200;-835.351;;-1.841.451;-200
897;9;-3.936.187;0;2.690.001;2.690.001;4.483.335;1.258.333;1.258.333;4.194.444;6;3;90;120;0;-6.036.187;;-3.725.280;-160
898;31;-2.092.157;0;5.803.331;5.803.331;2.637.878;5.614.998;5.614.998;330.294;22;17;510;440;-500;-6.592.157;;-4.378.945;-220
899;19;1.121.965;0;3.549.998;3.549.998;2.218.749;5.236.661;5.236.661;4.363.884;16;12;360;320;-200;-3.678.035;;-2.574.887;-220
900;14;-4.523.148;0;4.253.335;4.253.335;3.271.796;3.811.667;3.811.667;4.235.185;13;9;270;260;-100;-4.752.315;;-2.196.607;-200
901;18;-1.557.657;0;2.739.999;2.739.999;1.957.142;3.959.999;3.959.999;3.599.999;14;11;330;280;-100;-6.657.656;;-2.197.437;-180
902;16;-1.013.027;0;1.073.333;1.073.333;1.788.889;8.066.666;8.066.666;4.033.333;6;2;60;120;-500;-6.930.267;;-1.612.805;-280
903;22;-2.438.231;0;4.563.335;4.563.335;2.684.315;3.253.334;3.253.334;3.253.334;17;10;300;340;-200;-6.838.231;;-1.682.020;-220
904;10;-8.002.607;0;1.916.667;1.916.667;212.963;2.716.668;2.716.668;2.716.668;9;1;30;180;-200;-8.102.607;;-3.506.934;-220
905;15;-5.664.633;0;1.766.667;1.766.667;1.606.061;2.296.665;2.296.665;5.741.663;11;4;120;220;-200;-7.064.633;;-3.735.231;-240
906;18;-4.566.141;0;6.233.333;6.233.333;7.791.666;109.5;109.5;18.25;8;6;180;160;-100;-6.966.141;;-4.336.928;-240
907;18;-1.265.585;0;3.219.999;3.219.999;23;4.133.329;4.133.329;4.592.588;14;9;270;280;-100;-4.626.559;;-4.387.439;-160
908;12;-2.496.297;0;1.353.334;1.353.334;1.353.334;1.091.667;1.091.667;2.729.168;10;4;120;200;0;-5.696.297;;-4.399.053;-120
909;18;-5.468.606;0;2.033.334;2.033.334;1.452.381;4.559.999;4.559.999;4.145.453;14;11;330;280;-300;-8.568.606;;-3.892.252;-140
910;38;6.223.119;0;1033;1033;2.951.429;1.560.167;1.560.167;4.727.777;35;33;990;700;-500;-567.688;;-1.514.702;-200
911;12;-3.758.883;0;9.033.337;9.033.337;1.505.556;5.733.334;5.733.334;1.911.111;6;3;90;120;0;-5.858.882;;-1.353.250;-180
912;20;-6.482.249;0;4.166.666;4.166.666;2.777.777;5.516.663;5.516.663;6.129.626;15;9;270;300;-300;-9.182.249;;-2.396.583;-220
913;19;-3.422.489;0;2.953.333;2.953.333;2.461.111;223.5;223.5;2.793.749;12;8;240;240;-100;-722.249;;-2.581.822;-240
914;20;-5.358.255;0;4.153.333;4.153.333;2.966.667;6.109.996;6.109.996;5.554.542;14;11;330;280;-100;-5.635.826;;-2.559.751;-200
915;19;-3.290.366;0;261;261;21.75;1.138.333;1.138.333;2.276.667;12;5;150;240;-200;-5.190.366;;-4.462.448;-140
916;14;-3.361.768;0;1.526.667;1.526.667;1.696.297;1.435.001;1.435.001;2.870.001;9;5;150;180;0;-6.661.768;;-4.383.025;-140
917;21;-2.538.773;0;2.943.333;2.943.333;2.452.777;2.233.333;2.233.333;3.190.475;12;7;210;240;-300;-4.038.773;;-3.594.330;-140
918;20;-4.920.167;0;2.866.667;2.866.667;1.911.111;3.151.667;3.151.667;2.865.152;15;11;330;300;0;-1.122.017;;-3.893.866;-120
919;10;-1.603.977;0;2.833.334;2.833.334;7.083.334;0;0;NaN;4;0;0;80;0;-1.683.977;;-3.143.010;-100
920;17;-2.646.861;0;3.369.999;3.369.999;2.808.333;2.566.665;2.566.665;5.133.329;12;5;150;240;-200;-4.546.861;;-3.014.309;-100
921;14;2.039.777;0;338;338;16.9;4.528.332;4.528.332;3.483.332;20;13;390;400;-100;-4.860.222;;-1.934.000;-120
922;13;-5.968.924;0;1.176.666;1.176.666;1.470.833;1.129.999;1.129.999;2.824.998;8;4;120;160;0;-8.768.925;;-2.620.030;-60
923;30;1.666.447;0;681.333;681.333;2.620.512;8.844.996;8.844.996;5.202.939;26;17;510;520;-400;-4.633.553;;-1.302.708;-140
924;15;3.520.293;0;5.573.333;5.573.333;3.096.296;485.833;485.833;485.833;18;10;300;360;0;-3.079.708;;-277.854;-140
925;25;-8.767.919;0;4.796.668;4.796.668;3.426.191;6.764.999;6.764.999;61.5;14;11;330;280;-800;-6.867.919;;-1.502.065;-260
926;15;2.922.479;0;281;281;2.161.539;4.154.998;4.154.998;4.154.998;13;10;300;260;-200;-3.307.752;;-1.325.525;-280
927;21;-3.773.059;0;2.863.333;2.863.333;1.684.314;5.386.665;5.386.665;4.143.589;17;13;390;340;-100;-1.007.306;;-886.352;-300
928;20;-4.127.269;0;2.836.667;2.836.667;202.619;2.546.666;2.546.666;3.638.094;14;7;210;280;0;-9.027.268;;-2.045.095;-220
929;14;-4.505.725;0;1.083.333;1.083.333;1.203.704;1.318.333;1.318.333;2.636.666;9;5;150;180;-100;-6.805.726;;-3.650.299;-240
930;13;-5.446.873;0;1.709.999;1.709.999;2.849.999;6.166.669;6.166.669;2.055.556;6;3;90;120;0;-7.546.872;;-2.986.089;-80
931;21;-316.237;0;2.093.333;2.093.333;1.308.333;2.974.999;2.974.999;2.974.999;16;10;300;320;-200;-736.237;;-3.633.833;-80
932;19;-2.952.855;0;2.326.665;2.326.665;1.661.904;2.621.667;2.621.667;2.383.334;14;11;330;280;-100;-8.052.855;;-3.469.792;-80
933;14;-5.911.479;0;3.706.667;3.706.667;2.647.619;1.360.001;1.360.001;2.720.001;14;5;150;280;-200;-8.211.478;;-3.826.634;-120
934;22;2.146.154;0;599;599;2.722.727;6.039.997;6.039.997;3.552.939;22;17;510;440;-100;-6.353.846;;-2.496.258;-120
935;18;-7.302.679;0;2.509.999;2.509.999;2.281.817;986.666;986.666;3.288.887;11;3;90;220;-100;-9.402.679;;-2.867.419;-140
936;17;-3.487.723;0;2.683.333;2.683.333;2.236.111;3.024.998;3.024.998;5.041.663;12;6;180;240;0;-7.687.724;;-3.501.716;-100
937;21;-9.208.494;0;4.526.667;4.526.667;2.382.456;6.325.002;6.325.002;4.865.387;19;13;390;380;-100;-6.792.084;;-4.752.844;-100
938;19;-4.637.967;0;3.736.665;3.736.665;249.111;2.954.999;2.954.999;3.693.749;15;8;240;300;-100;-9.037.968;;-4.498.142;-80
939;19;-3.640.908;0;4.113.332;4.113.332;2.570.832;4.966.667;4.966.667;4.966.668;16;10;300;320;0;-9.840.909;;-5.655.554;-60
940;19;-6.314.365;0;2.566.666;2.566.666;2.851.851;1.428.333;1.428.333;2.856.666;9;5;150;180;-300;-6.614.365;;-5.457.891;-100
941;22;-3.421.195;0;3.433.332;3.433.332;245.238;2.791.666;2.791.666;3.489.583;14;8;240;280;-300;-5.621.196;;-5.444.586;-160
942;23;1.885.245;0;7.129.998;7.129.998;2.851.999;9.096.664;9.096.664;5.053.702;25;18;540;500;-100;-7.514.755;;-3.225.838;-160
943;17;-4.969.045;0;2.703.331;2.703.331;2.703.331;281.333;281.333;4.019.043;10;7;210;200;-100;-8.069.045;;-3.292.054;-160
944;25;-6.894.702;0;5.866.667;5.866.667;2.933.333;6.161.667;6.161.667;5.134.723;20;12;360;400;-100;-728.947;;-3.942.812;-180
945;24;224.172;0;5.223.336;5.223.336;2.271.016;6.138.331;6.138.331;3.836.457;23;16;480;460;-100;-6.158.279;;-2.635.105;-140
946;14;1.254.692;0;188;188;1.709.091;2.214.999;2.214.999;3.164.285;11;7;210;220;0;-3.045.308;;-1.699.928;-80
947;18;-4.370.039;0;1.426.667;1.426.667;1.426.667;197.5;197.5;2.821.428;10;7;210;200;-100;-7.470.038;;-2.950.984;-80
948;13;-5.733.754;0;1.619.999;1.619.999;2.024.999;1.223.332;1.223.332;3.058.331;8;4;120;160;0;-8.533.755;;-3.103.926;-60
949;22;-2.338.246;0;4.426.666;4.426.666;2.459.259;6.574.999;6.574.999;4.696.428;18;14;420;360;-100;-9.138.246;;-2.192.635;-60
950;18;-8.687.006;0;2.063.333;2.063.333;1.875.758;4.179.999;4.179.999;4.644.444;11;9;270;220;-200;-3.768.701;;-3.974.871;-80
951;11;-1.737.276;0;2.983.334;2.983.334;2.712.122;1.351.667;1.351.667;3.379.167;11;4;120;220;0;-5.137.277;;-4.573.264;-80
952;32;1.893.348;0;6.509.998;6.509.998;2.503.845;8.779.996;8.779.996;418.095;26;21;630;520;-300;-6.606.652;;-3.320.587;-120
953;24;4.249.077;0;4.253.333;4.253.333;2.238.596;7.636.661;7.636.661;4.772.913;19;16;480;380;-200;-6.175.092;;-1.324.021;-160
954;11;-4.356.688;0;137;137;1.522.222;9.283.333;9.283.333;3.094.444;9;3;90;180;0;-7.056.687;;-1.727.709;-140
955;11;6.867.751;0;2.783.333;2.783.333;2.530.303;3.213.332;3.213.332;4.590.475;11;7;210;220;0;-3.613.224;;1.383.242;-100
956;24;-5.786.859;0;5.723.329;5.723.329;3.179.627;472.333;472.333;4.293.936;18;11;330;360;0;-1.268.686;;573.326;-100
957;22;-9.122.733;0;4.926.662;4.926.662;3.079.164;3.944.998;3.944.998;3.944.998;16;10;300;320;-400;-1.132.273;;-1.629.890;-120
958;18;-8.343.957;0;219;219;21.9;6.116.671;6.116.671;3.058.335;10;2;60;200;-300;-7.943.957;;-4.148.497;-140
959;13;-3.952.018;0;1.106.666;1.106.666;1.229.629;1.256.666;1.256.666;3.141.666;9;4;120;180;0;-6.952.019;;-4.067.563;-140
960;32;1.442.804;0;9.903.331;9.903.331;3.414.942;1.199.833;1.199.833;4.999.304;29;24;720;580;-200;-9.557.195;;-5.152.553;-180
961;18;3.249.481;0;3.956.666;3.956.666;2.198.148;3.903.334;3.903.334;2.788.096;18;14;420;360;-100;-3.550.519;;-3.345.285;-200
962;17;2.561.708;0;3.336.669;3.336.669;2.224.446;5.499.999;5.499.999;4.999.999;15;11;330;300;0;-3.738.292;;-1.008.396;-120
963;58;1.870.551;0;1584;1584;28.8;2.284.166;2.284.166;4.568.333;55;50;1500;1100;-300;-4.294.485;;1.034.505;-120
964;14;-3.869.299;0;2.659.999;2.659.999;1.773.333;185.5;185.5;3.091.666;15;6;180;300;-200;-6.669.297;;1.051.049;-160
965;22;-1.047.768;0;3.153.335;3.153.335;1.970.834;2.306.666;2.306.666;2.562.962;16;9;270;320;-300;-1.337.768;;552.935;-180
966;33;5.025.266;0;1.057.666;1.057.666;2.783.333;1.137.499;1.137.499;4.062.497;38;28;840;760;-400;-6.974.733;;908.092;-240
967;12;-7.912.693;0;7.366.667;7.366.667;1.473.333;9.166.664;9.166.664;3.055.555;5;3;90;100;0;-9.812.693;;-1.186.789;-240
968;35;8.217.623;0;6.726.667;6.726.667;2.038.384;1.460.333;1.460.333;4.425.252;33;33;990;660;-200;-6.282.377;;82.626;-220
969;16;-875.234;0;6.933.331;6.933.331;8.666.664;1.508.332;1.508.332;5.027.773;8;3;90;160;-400;-7.252.339;;681.439;-260
970;15;-6.049.133;0;8.666.668;8.666.668;1.238.095;8.066.669;8.066.669;2.016.667;7;4;120;140;-200;-6.649.133;;-318.834;-240
971;23;-1.216.998;0;7.149.996;7.149.996;397.222;5.963.331;5.963.331;4.969.443;18;12;360;360;-200;-6.416.998;;-1.567.287;-200
972;27;5.908.102;0;8.926.661;8.926.661;3.306.171;1.002.499;1.002.499;4.358.693;27;23;690;540;-100;-5.391.898;;1.196.872;-220
973;41;7.145.245;0;9.336.663;9.336.663;2.457.017;1310.5;1310.5;4.518.965;38;29;870;760;-400;-5.154.756;;982.396;-260
974;35;4.052.715;0;5.606.666;5.606.666;2.002.381;8.448.331;8.448.331;3.249.358;28;26;780;560;-300;-6.347.285;;1.967.986;-240
975;16;6.257.854;0;3.393.331;3.393.331;2.610.255;3.038.331;3.038.331;3.375.923;13;9;270;260;0;-4.674.215;;4.429.384;-200
976;58;1.852.304;0;1.479.666;1.479.666;2.507.908;2.273.832;2.273.832;4.210.799;59;54;1620;1180;-300;-6.476.956;;5.043.244;-220
977;33;5.717.747;0;8.766.667;8.766.667;2.827.957;1047.5;1047.5;4.028.846;31;26;780;620;-400;-4.282.252;;5.005.173;-280
978;22;1.734.378;0;540;540;22.5;681.333;681.333;4.866.665;24;14;420;480;0;-7.265.622;;3.923.000;-200
979;19;233.887;0;314;314;2.093.333;4.121.668;4.121.668;3.434.723;15;12;360;300;-100;-326.113;;3.159.234;-160
980;18;-1.270.518;0;3.023.334;3.023.334;2.159.524;3.193.333;3.193.333;290.303;14;11;330;280;-200;-5.370.518;;1.653.560;-200
981;13;1.240.638;0;2.196.667;2.196.667;199.697;215;215;3.583.333;11;6;180;220;0;-3.875.936;;1.531.226;-140
982;10;-3.454.442;0;135;135;13.5;182;182;3.033.333;10;6;180;200;0;-7.254.442;;-303.211;-60
