Iteration;Decisions;Reward Total;Time;ShortestPickupTime;LongestPickupTime;AveragePickupTime;ShortestDropoffTime;LongestDropoffTime;AverageDropoffTime;TotalPickups;TotalDropoffs;Reward Drop off;Reward Pick up;Reward Same Location;Reward Leftover
107;20;-974.6057;0;481.6664;481.6664;37.05126;262.6665;262.6665;43.77776;13;6;180;260;-400;-1014.606
108;20;-454.2682;0;544;544;32;321.4999;321.4999;35.72221;17;9;270;340;-400;-664.2682
109;10;-514.5833;0;116.6667;116.6667;23.33334;76.16667;76.16667;25.38889;5;3;90;100;0;-704.5833
110;17;-400.1841;0;228.6667;228.6667;19.05556;171.3334;171.3334;34.26667;12;5;150;240;-300;-490.1841
111;24;-1648.226;0;463.9999;463.9999;33.14285;362.3329;362.3329;45.29162;14;8;240;280;-700;-1468.226
112;18;-567.5064;0;308.9999;308.9999;23.76922;176.8332;176.8332;29.47221;13;6;180;260;-500;-507.5065
113;12;-535.2783;0;374.3332;374.3332;31.19443;287.3332;287.3332;41.0476;12;7;210;240;-100;-885.2783
114;16;-767.3079;0;140.6666;140.6666;17.58333;183.8332;183.8332;36.76665;8;5;150;160;-200;-877.3079
115;9;-1159.304;0;16;16;5.333333;0;0;NaN;3;0;0;60;0;-1219.304
116;11;-617.0206;0;149;149;21.28572;42.00002;42.00002;21.00001;7;2;60;140;0;-817.0206
117;16;-1033.037;0;170.3333;170.3333;24.33333;73.83335;73.83335;24.61112;7;3;90;140;-300;-963.0373
118;19;-1306.905;0;577.0001;577.0001;36.06251;412.6664;412.6664;45.85182;16;9;270;320;-500;-1396.905
119;13;-441.0592;0;144;144;12;148.1666;148.1666;29.63333;12;5;150;240;-300;-531.0592
120;13;-1153.239;0;72.00002;72.00002;18.00001;21;21;21;4;1;30;80;-400;-863.2385
121;15;-501.7346;0;492.9999;492.9999;32.86666;127.1667;127.1667;25.43334;15;5;150;300;-300;-651.7346
122;16;-1071.766;0;162.9999;162.9999;18.1111;133.6666;133.6666;26.73332;9;5;150;180;-200;-1201.766
123;21;-740.7252;0;362.3333;362.3333;21.31372;446.333;446.333;44.6333;17;10;300;340;-500;-880.7251
124;31;-200.4224;0;588.3332;588.3332;24.51388;1006.666;1006.666;43.7681;24;23;690;480;-600;-770.4225
125;19;-568.9528;0;415.9997;415.9997;20.79998;846.3335;846.3335;70.52779;20;12;360;400;-300;-1028.953
126;33;-158.0671;0;877.9998;877.9998;28.32257;1104.833;1104.833;50.21967;31;22;660;620;-600;-838.0671
127;35;367.4104;0;708.6666;708.6666;20.84313;1227.166;1227.166;43.82737;34;28;840;680;-600;-552.5895
128;19;-916.0715;0;334.3333;334.3333;23.88095;128.8333;128.8333;32.20833;14;4;120;280;-500;-816.0715
129;12;-691.5217;0;122.3334;122.3334;15.29167;176.3333;176.3333;44.08332;8;4;120;160;-100;-871.5217
130;20;-617.0079;0;451.3331;451.3331;30.08887;723.6664;723.6664;55.66665;15;13;390;300;-500;-807.0079
131;18;-383.3653;0;138;138;13.8;132.3333;132.3333;26.46667;10;5;150;200;-100;-633.3654
132;31;-417.6105;0;566.6667;566.6667;24.63768;668.9998;668.9998;41.81248;23;16;480;460;-700;-657.6105
133;14;-586.835;0;210.3333;210.3333;17.52778;301.4998;301.4998;37.68747;12;8;240;240;-200;-866.8349
134;16;-844.9465;0;91.33334;91.33334;11.41667;134.6666;134.6666;33.66665;8;4;120;160;-500;-624.9465
135;14;-614.6834;0;109.6666;109.6666;15.66665;109.1666;109.1666;27.29166;7;4;120;140;-400;-474.6834
136;17;-110.9206;0;427.6665;427.6665;32.89743;370.6666;370.6666;37.06666;13;10;300;260;-200;-470.9206
137;16;-489.6056;0;319;319;26.58333;185.3333;185.3333;30.88888;12;6;180;240;-200;-709.6055
138;16;-226.701;0;372.3333;372.3333;31.02777;399.833;399.833;44.42589;12;9;270;240;-200;-536.701
139;31;-739.2089;0;519.6666;519.6666;27.35087;775.3332;775.3332;51.68888;19;15;450;380;-900;-669.2089
140;17;-713.1642;0;400.9998;400.9998;26.73332;87.16659;87.16659;21.79165;15;4;120;300;-500;-633.1642
141;33;-123.43;0;823.9999;823.9999;27.46667;1023.166;1023.166;40.92665;30;25;750;600;-800;-673.4299
142;13;-347.3553;0;297.333;297.333;21.23807;304.833;304.833;38.10412;14;8;240;280;-200;-667.3554
143;15;-11.39869;0;485.6664;485.6664;26.98147;978.5;978.5;65.23333;18;15;450;360;-100;-721.3986
144;15;-250.4656;0;234;234;21.27272;120.6666;120.6666;30.16664;11;4;120;220;-200;-390.4656
145;29;-749.2201;0;624.0001;624.0001;24;934.6665;934.6665;51.92592;26;18;540;520;-600;-1209.22
146;20;-467.936;0;282.3333;282.3333;20.16666;397.5;397.5;36.13636;14;11;330;280;-500;-577.936
147;22;-25.21232;0;386.9998;386.9998;24.18749;596.1663;596.1663;42.58331;16;14;420;320;-300;-465.2123
148;14;-977.9551;0;45.66666;45.66666;15.22222;74.33324;74.33324;37.16662;3;2;60;60;-200;-897.9551
149;18;-728.0271;0;289.6665;289.6665;26.33331;172.6666;172.6666;28.77777;11;6;180;220;-400;-728.0271
150;26;-20.41683;0;686.9999;686.9999;27.48;735.8334;735.8334;36.79167;25;20;600;500;-300;-820.4169
